股票代码,股票名称,最新价,EMA6,EMA18,止损线,买入信号,信号强度,信号日期,趋势,更新日期
601888,中国中免,89.37,91.19,91.36,81.67,二浪回踩,⭐ 一般,2026-01-29,下降,2026-01-30
000002,万科A,4.88,4.91,4.88,4.45,放量启动,⭐ 一般,2026-01-29,上升,2026-01-30
000568,泸州老窖,120.9,117.54,116.67,108.97,放量启动,⭐ 一般,2026-01-29,上升,2026-01-30
000063,中兴通讯,38.49,39.36,39.49,36.13,二浪回踩,⭐ 一般,2026-01-29,下降,2026-01-30
000776,广发证券,22.49,22.61,22.53,21.13,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
300957,贝泰妮,41.89,42.21,41.93,39.65,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
600132,重庆啤酒,52.11,53.01,52.83,50.96,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
002460,赣锋锂业,68.6,71.69,70.13,61.38,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
002415,海康威视,31.33,31.82,31.41,29.82,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
002129,中环股份,9.41,9.41,9.15,8.27,二浪回踩,⭐ 一般,2026-01-29,上升,2026-01-30
688981,中芯国际,122.97,124.19,124.51,112.12,放量启动,⭐ 一般,2026-01-28,下降,2026-01-30
000725,京东方A,4.37,4.45,4.42,4.13,二浪回踩,⭐ 一般,2026-01-27,上升,2026-01-30
300433,蓝思科技,36.35,37.81,37.17,31.75,二浪回踩,⭐ 一般,2026-01-27,上升,2026-01-30
002371,北方华创,475.23,489.27,493.09,440.06,二浪回踩,⭐ 一般,2026-01-27,下降,2026-01-30
601012,隆基绿能,17.88,18.5,18.49,16.34,放量启动,⭐ 一般,2026-01-26,上升,2026-01-30
603486,科沃斯,71.82,75.74,79.2,68.44,二浪回踩,⭐ 一般,2026-01-23,下降,2026-01-30
603501,韦尔股份,121.2,124.71,126.81,114.76,二浪回踩,⭐ 一般,2026-01-23,下降,2026-01-30
000651,格力电器,38.7,39.04,39.76,37.58,放量启动,⭐ 一般,2026-01-20,下降,2026-01-30
300015,爱尔眼科,11.07,11.2,11.28,10.49,二浪回踩,⭐ 一般,2026-01-19,下降,2026-01-30
